WMT_balance-sheet_Annual_As_Originally_Reported,2020,2021,2022,2023,2024
Debt Maturity Schedule Total,49651000000.0,44533000000.0,38077000000.0,39212000000.0,40457000000.0
    Debt due in Year 1,5937000000.0,3339000000.0,3213000000.0,4563000000.0,4325000000.0
    Debt due in Year 2,3009000000.0,3014000000.0,4224000000.0,3516000000.0,2600000000.0
    Debt due in Year 3,2830000000.0,4721000000.0,3565000000.0,2604000000.0,3483000000.0
    Debt due in Year 4,4652000000.0,4360000000.0,857000000.0,2737000000.0,1760000000.0
    Debt due in Year 5,4367000000.0,1480000000.0,2757000000.0,1817000000.0,3458000000.0
    Debt due Beyond,28960000000.0,27619000000.0,23461000000.0,23975000000.0,24831000000.0
    Debt - Interests Charges and Other Adjustments,-104000000.0,,,,
Capital Lease Obligation Maturity Schedule Total,4818000000.0,4338000000.0,4754000000.0,5410000000.0,6434000000.0
    Capital Lease due in Year 1,797000000.0,717000000.0,736000000.0,834000000.0,1071000000.0
    Capital Lease due in Year 2,757000000.0,613000000.0,675000000.0,774000000.0,1000000000.0
    Capital Lease due in Year 3,640000000.0,551000000.0,611000000.0,712000000.0,926000000.0
    Capital Lease due in Year 4,552000000.0,496000000.0,555000000.0,638000000.0,823000000.0
    Capital Lease due in Year 5,492000000.0,449000000.0,482000000.0,545000000.0,636000000.0
    Capital Lease due Beyond,5612000000.0,4746000000.0,4987000000.0,5438000000.0,5850000000.0
    Capital Lease - Interests Charges and Other Adjustments,-4032000000.0,-3234000000.0,-3292000000.0,-3531000000.0,-3872000000.0
Operating Lease Obligation Maturity Schedule Total,17964000000.0,14375000000.0,14492000000.0,14301000000.0,14430000000.0
    Operating Lease due in Year 1,2587000000.0,2189000000.0,2164000000.0,2166000000.0,2181000000.0
    Operating Lease due in Year 2,2358000000.0,2017000000.0,2040000000.0,2077000000.0,2107000000.0
    Operating Lease due in Year 3,2138000000.0,1861000000.0,1876000000.0,1917000000.0,1970000000.0
    Operating Lease due in Year 4,1932000000.0,1697000000.0,1713000000.0,1735000000.0,1815000000.0
    Operating Lease due Beyond,1728000000.0,1527000000.0,1551000000.0,1556000000.0,1645000000.0
    Operating Lease - Interests Charges and Other Adjustments,15514000000.0,11658000000.0,11322000000.0,11018000000.0,11295000000.0
    Operating Lease - Interests Charges and Other Adjustments,-8293000000.0,-6574000000.0,-6174000000.0,-6168000000.0,-6583000000.0
Total Lease Liability,22782000000.0,18713000000.0,19246000000.0,19711000000.0,20864000000.0
    Total Lease Liability - Due in year 1,3384000000.0,2906000000.0,2900000000.0,3000000000.0,3252000000.0
    Total Lease Liability - Due in year 2,3115000000.0,2630000000.0,2715000000.0,2851000000.0,3107000000.0
    Total Lease Liability - Due in year 3,2778000000.0,2412000000.0,2487000000.0,2629000000.0,2896000000.0
    Total Lease Liability - Due in year 4,2484000000.0,2193000000.0,2268000000.0,2373000000.0,2638000000.0
    Total Lease Liability - Due in year 5,2220000000.0,1976000000.0,2033000000.0,2101000000.0,2281000000.0
    Total Lease Liability - Beyond,21126000000.0,16404000000.0,16309000000.0,16456000000.0,17145000000.0
    Total Lease Liability - Interest Charges and Other Adjustments,-12325000000.0,-9808000000.0,-9466000000.0,-9699000000.0,-10455000000.0
Total Contractual Obligations,110159000000.0,110330000000.0,57323000000.0,58923000000.0,61321000000.0
    Total Contractual Obligations due in year 1,19000000000.0,18102000000.0,6113000000.0,7563000000.0,7577000000.0
    Total Contractual Obligations due in year 2,6124000000.0,5644000000.0,6939000000.0,6367000000.0,5707000000.0
    Total Contractual Obligations due in year 3,13194000000.0,17011000000.0,6052000000.0,5233000000.0,6379000000.0
    Total Contractual Obligations due in year 4,7136000000.0,6553000000.0,3125000000.0,5110000000.0,4398000000.0
    Total Contractual Obligations due in year 5,10939000000.0,8550000000.0,4790000000.0,3918000000.0,5739000000.0
    Total Contractual Obligations due Beyond,66195000000.0,64278000000.0,39770000000.0,40431000000.0,41976000000.0
    Total Contractual Obligations - Interests Charges and Other Adjustments,-12429000000.0,-9808000000.0,-9466000000.0,-9699000000.0,-10455000000.0
Other Contractual Obligations Maturity Schedule Total,37726000000.0,47084000000.0,,,
    Other Contractual Obligations due in Year 1,9679000000.0,11857000000.0,,,
    Other Contractual Obligations due in Year 3,7586000000.0,9878000000.0,,,
    Other Contractual Obligations due in Year 5,4352000000.0,5094000000.0,,,
    Other Contractual Obligations due Beyond,16109000000.0,20255000000.0,,,
Fiscal year ends in Jan 31 | USD,,,,,
